PWM	motif_score_0.001	motif_score_0.0005	motif_score_0.0001
HXB4.H13CORE.1.PSM.A	4.12501	5.68121	7.83809
HXB5.H13CORE.0.SM.B	4.50664	6.09212	7.80751
HXB6.H13CORE.0.SM.B	4.41931	5.83651	7.69022
HXB7.H13CORE.0.P.C	4.16241	5.15531	7.17111
HXB7.H13CORE.1.SM.B	5.44171	6.16672	7.21311
HXB8.H13CORE.0.PSM.A	4.72711	6.02521	7.64451
HXB9.H13CORE.0.S.C	5.07783	6.03402	7.58503
HXB9.H13CORE.1.M.C	4.50223	5.65842	7.63112
HXC10.H13CORE.0.P.B	4.50003	5.38913	7.18371
HXC10.H13CORE.1.S.B	3.02552	4.54804	7.87651
HXC10.H13CORE.2.SM.B	2.53841	3.90092	6.97647
HXC11.H13CORE.0.SM.B	3.72121	5.03922	7.44378
